respondent_id,time_to_event,event_status,scenario,has_body_insurance,body_insurance_cost,age_under38,age_38_48y,age_over_48,marital_single,marital_married_nochild,marital_married_child,edu_under_high_school,edu_diploma,edu_bachelor_above,own_1_car,own_morethan_1,own_15plus_years,own_10_15_years,own_5_10_years,own_less_5_years,ownership_partially,ownership_full,truck_year,truck_type_trailer,truck_single_axle,truck_two_axles,truck_light,truck_otaghdar,truck_tanker,truck_trailer,truck_tighe,truck_khodrobar,truck_kafi,truck_compressi,truck_labedar,truck_mosaghaf,truck_yakhchali,cargo_food,cargo_perishable,cargo_medicine,cargo_furniture,cargo_building,cargo_machinery,cargo_raw_materials,cargo_recycled,cargo_medical_supplies,cargo_container,cargo_lightweight,cargo_vehicle,cargo_minerals,cargo_industrial,cargo_parts_pallet,price_9_12b,price_6_9b,price_3_6b,price_0_3b,abs_yes,insure_discount_years,cruise_regular,cruise_intelligent,km_over_200k,km_150_200k,km_100_150k,km_0_100k,load_from_dealer,load_from_company,load_from_platform,load_direct_owner,codriver_yes,drive_continue_under_10,drive_continue_over_10,load_over_16t,load_upto_16t,load_upto_12t,load_upto_8t,nocontract,contract_gov,contract_private_small,contract_private_large,income_over_180m,income_upto_180m,income_upto_160m,income_upto_120m,income_upto_100m,accidents_0,accident_yes,fine_overtake,fine_seatbelt,fine_speeding,fine_mobile_use,fine_overtake_lane,fine_no_mot,fine_tech_defect,fine_overload,negative_score,exp_lt_10y,exp_10_20y,exp_over_20y,dbq_risky_overtake,dbq_speed_violation_night,dbq_ran_red_light,dbq_aggressive_intersection,dbq_misjudge_overtake,dbq_misjudge_turn_left,dbq_sign_confusion,dbq_wrong_lane_choice,phone_use_freq,phone_use_call,phone_use_text,phone_use_map,phone_use_video,phone_use_music,phone_use_other,sleeper_car_yes,sleep_rest_area,sleep_outside_car,sleep_in_house,sleep_in_sleeper,sleep_other,sleep_noans,park_terminal,park_rest_area,park_private,park_roadside_toll,park_other,find_load_long,find_load_few,find_load_uncertain,delay_not_important,delay_upto1h,delay_1_2h,delay_2_3h,delay_3_4h,delay_4_5h,nav_car_device,nav_google_maps,nav_waze,nav_neshan,nav_balad,nav_other,nav_none,nav_noans,platf_know_none,platf_know_ubar,platf_know_trabarnet,platf_know_asanbar,platf_know_baryar,platf_know_netbar,platf_know_cap,platf_know_other,platf_use_none,platf_use_ubar,platf_use_trabarnet,platf_use_asanbar,platf_use_baryar,platf_use_netbar,platf_use_cap,platf_use_other
1,15,1,probe_only,1,21,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,4,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,0,1,2,1,2,2,2,2,1,3,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
1,100,0,probe_camera,1,21,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,4,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,0,1,2,1,2,2,2,2,1,3,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
2,15,1,probe_only,1,23,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,5,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,5,0,1,0,2,2,2,1,1,2,2,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0
2,100,0,probe_camera,1,23,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,5,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,5,0,1,0,2,2,2,1,1,2,2,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0
3,15,1,probe_only,1,22,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,8,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,0,1,2,2,2,2,2,2,3,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0
3,100,0,probe_camera,1,22,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,8,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,0,1,2,2,2,2,2,2,3,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0
4,15,1,probe_only,1,22,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,4,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,0,1,2,3,1,2,2,3,1,1,5,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
4,100,0,probe_camera,1,22,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,4,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,0,1,2,3,1,2,2,3,1,1,5,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
5,15,1,probe_only,1,25,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,3,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,0,1,0,2,3,1,2,3,1,2,1,4,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
5,100,0,probe_camera,1,25,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,3,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,0,1,0,2,3,1,2,3,1,2,1,4,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
6,15,1,probe_only,1,21,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,4,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,0,1,1,1,1,2,2,3,1,3,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
6,100,0,probe_camera,1,21,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,4,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,0,1,1,1,1,2,2,3,1,3,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
7,10,1,probe_only,1,27,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,4,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,0,1,2,1,2,2,2,3,1,4,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
7,100,0,probe_camera,1,27,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,4,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,0,1,2,1,2,2,2,3,1,4,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
8,15,1,probe_only,1,25,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,8,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,0,2,1,1,2,2,2,2,1,3,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0
8,100,0,probe_camera,1,25,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,8,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,0,2,1,1,2,2,2,2,1,3,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0
9,15,1,probe_only,1,24,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,7,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,7,0,1,0,2,1,1,2,2,2,3,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0
9,100,0,probe_camera,1,24,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,7,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,7,0,1,0,2,1,1,2,2,2,3,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0
10,15,1,probe_only,1,25,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,3,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,7,1,0,0,3,3,1,2,2,1,2,1,5,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
10,100,0,probe_camera,1,25,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,3,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,7,1,0,0,3,3,1,2,2,1,2,1,5,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
